"Address","City","Bd1","Bth1","Sqft","LotSz1","LotUnit","Year","Date","Sqft.dollor","DOM.CDOM","OrgPrice","LstPrice","SalPrice","SP.LP","zip"
"516 Todhunter Ave","West Sacra","2","1 (1 0)",480,0.163,"ac","1914",2014-12-26,123.96,"7/7",89000,"69000","59500",86.23,95605
"1130 Morse Ct","West Sacra","3","1 (1 0)",989,0.115,"ac","1959",2013-04-05,62.69,"0/0",62000,"62000","62000",100,95605
"1437 Hobson Ave","West Sacra","2","1 (1 0)",828,0.11,"ac","Unknown",2013-04-01,78.5,"9/9",80000,"80000","65000",81.25,95605
"615 William St","West Sacra","1-2","1 (1 0)",800,0.186,"ac","Unknown",2013-07-25,87.5,"78/78",67500,"55000","70000",127.27,95605
"1436 Dobros Dr","West Sacra","2","2 (1 1)",998,5376,"sf","1946",2013-01-23,70.14,"7/7",58000,"58000","70000",120.69,95605
"103 5th St","West Sacra","2","1 (1 0)",568,0.0918,"ac","1994",2015-01-22,129.4,"32/32",79000,"79000","73500",93.04,95605
"641 Jasmine Ave","West Sacra","2","1 (1 0)",700,0.1676,"ac","Unknown",2013-10-21,107.14,"30/30",99999,"75000","75000",100,95605
"420 Myrtle Ave","West Sacra","2","1 (1 0)",918,0.19,"ac","1954",2013-01-11,84.97,"13/13",75000,"75000","78000",104,95605
"325 4th St","West Sacra","2","1 (1 0)",810,0.07,"ac","Unknown",2013-11-27,98.77,"43/43",120000,"83000","80000",96.39,95605
"1432 Carrie St","West Sacra","2","1 (1 0)",1544,0.11,"ac","1942",2013-03-11,55.05,"16/16",65000,"65000","85000",130.77,95605
"844 Kegle Dr","West Sacra","3-4","1 (1 0)",976,0.1148,"ac","1956",2013-04-03,88.63,"6/6",61900,"61900","86501",139.74,95605
"611 welland Way","West Sacra","1-2","1 (1 0)",900,0.1307,"ac","1951",2013-10-17,100,"1/1",90000,"90000","90000",100,95605
"1101 Cummins Way","West Sacra","3","2 (2 0)",1128,0.13,"ac","Unknown",2014-07-02,82.45,"4/4",95000,"95000","93000",97.89,95605
"936 Yolo St","West Sacra","2","1 (1 0)",820,0.177,"ac","1948",2013-03-06,115.73,"9/9",94900,"94900","94900",100,95605
"811 Fairway Dr","West Sacra","2","1 (1 0)",808,0.115,"ac","1955",2013-06-28,117.57,"42/42",85000,"98000","95000",96.94,95605
"841 Greenwood Ave","West Sacra","2","1 (1 0)",837,0.12,"ac","1953",2013-10-31,117.08,"12/12",110000,"99000","98000",98.99,95605
"1230 Drew St","West Sacra","3","1 (1 0)",990,0.12,"ac","1959",2014-04-28,101.01,"10/10",130000,"130000","100000",76.92,95605
"928 Cummins Way","West Sacra","2","2 (1 1)",1420,7195,"sf","1957",2013-05-22,70.42,"1/1",100000,"100000","100000",100,95605
"604 James St","West Sacra","2","1 (1 0)",731,0.08,"ac","1950",2013-03-19,136.8,"76/76",109000,"109000","100000",91.74,95605
"732 Yolo St","West Sacra","3","1 (1 0)",1200,0.172,"ac","1961",2013-06-13,83.33,"2/2",84088,"78000","100000",128.21,95605
"1608 Citrus St","West Sacra","2","1 (1 0)",640,0.19,"ac","1947",2014-06-18,156.25,"4/4",112500,"112500","100000",88.89,95605
"428 Myrtle Ave","West Sacra","3","2 (2 0)",1124,0.17,"ac","Unknown",2013-06-04,91.06,"7/7",95000,"95000","102349",107.74,95605
"948 anna","West Sacra","3","2 (2 0)",1000,0.1459,"ac","1969",2013-05-15,105,"12/12",124970,"109970","105000",95.48,95605
"614 Elizabeth St","West Sacra","3","1 (1 0)",910,0.1047,"ac","1938",2014-11-26,118.68,"7/7",108000,"108000","108000",100,95605
"751 Beardsley Dr","West Sacra","3","2 (2 0)",1008,0.121,"ac","1956",2013-01-16,108.13,"3/3",104000,"104000","109000",104.81,95605
"1444 May St","West Sacra","3-4","2 (2 0)",1400,0.122,"ac","1960",2013-04-05,78.57,"79/79",85000,"85000","110000",129.41,95605
"1613 Citrus St","West Sacra","1","1 (1 0)",640,0.32,"ac","1949",2014-06-18,171.88,"4/4",112500,"112500","110000",97.78,95605
"1113 Rogers St","West Sacra","3","2 (2 0)",1189,0.115,"ac","1979",2013-05-30,95.04,"0/0",100000,"115000","113000",98.26,95605
"608 Andrew St","West Sacra","4","2 (2 0)",1172,0.108,"ac","Unknown",2013-01-18,98.12,"5/49",124000,"124000","115000",92.74,95605
"901 Reuter Dr","West Sacra","3","1 (1 0)",1008,5000,"sf","1954",2013-01-31,114.09,"65/65",141300,"114900","115000",100.09,95605
"930 Beardsley Dr","West Sacra","3","2 (2 0)",1008,0.108,"ac","1955",2013-03-14,115.08,"1/1",105000,"105000","116000",110.48,95605
"700 Kegle Dr","West Sacra","4","1 (1 0)",952,0.1148,"ac","1957",2013-12-17,125.95,"134/134",176900,"119900","119900",100,95605
"1351 Hobson Ave","West Sacra","3","2 (2 0)",1000,0.16,"ac","Unknown",2014-02-19,120,"3/3",119000,"119000","120000",100.84,95605
"640 James St","West Sacra","3","1 (1 0)",724,0.1083,"ac","Unknown",2013-06-14,171.27,"3/3",119900,"119900","124000",103.42,95605
